word,count
great,72
britain,72
italy,72
monaco,67
belgium,66
germany,64
france,61
spain,51
canada,50
brazil,48
united,37
states,37
hungary,36
australia,35
japan,35
austria,34
netherlands,31
south,27
san,26
marino,26
europe,23
africa,23
mexico,21
argentina,20
malaysia,19
portugal,18
bahrain,17
china,16
dhabi,13
abu,13
usa,13
singapore,12
indianapolis,11
500,11
turkey,9
west,8
russia,8
detroit,7
switzerland,6
sweden,6
east,5
korea,4
azerbaijan,4
india,3
styria,2
luxembourg,2
las,2
vegas,2
romagna,2
pacific,2
emilia,2
70th,1
morocco,1
pescara,1
dallas,1
tuscany,1
saudi,1
sakhir,1
arabia,1
eifel,1
anniversary,1
qatar,1
